C	dsets	labelings	models	vars	baseClauses	blocking	kissatUnsat	dratVerified	millis
1	1	1	1	29	98	1	true	true	1530
2	7	7	7	69	203	7	true	true	384
3	3	9	9	157	492	9	true	true	307
4	21	41	41	317	1073	41	true	true	426
5	8	40	40	573	2109	40	true	true	446
6	39	146	146	949	3756	146	true	true	645
7	19	133	133	1469	6218	133	true	true	801
8	109	566	566	2157	9703	566	true	true	2194
9	45	405	405	3037	14468	405	true	true	5376
10	108	800	800	4133	20770	800	true	true	16266
11	61	671	671	5469	28906	671	true	true	11852
12	341	3068	3068	7069	39185	3068	true	true	28967
13	93	1209	1209	8957	51954	1209	true	true	50736
14	289	3003	3003	11157	67568	3003	true	true	139030
15	18	270	270	13693	86418	270	true	true	57733
16	881	10720	10720	16589	108915	10720	true	true	188577
17	2	34	34	19869	135495	34	true	true	51938
18	441	6123	6123	23557	166615	6123	true	true	944261
19	0	0	0	27677	202759	0	true	true	28547
20	146	1880	1880	32253	244434	1880	true	true	420207
21	0	0	0	37309	292171	0	true	true	81483
22	38	572	572	42869	346525	572	true	true	236323
23	0	0	0	48957	408075	0	true	true	76052
24	40	458	458	55597	477424	458	true	true	108603
