C	dsets	labelings	vars	baseCls	blockCls	kissat_s	drat	total_s	proofMB	instanceSha256	kissatSha256	dratTrimSha256
1	1	1	72	208	1	0.5	true	0.5	0.0	eeb7b01911e3bc6ce1d3cb46d23d7e610c50ffcb639d7185209341cce237c083	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
2	7	7	217	556	7	0.1	true	0.1	0.0	da27b10946ece8d7bb9b59d537b50b13537fd5d3196d8a798a547674497337a3	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
3	3	9	509	1334	9	0.1	true	0.1	0.0	f6f8142112dc81145a0b95c045414cff425b96862cafac0d5b998175705b54ea	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
4	22	43	1002	2691	43	0.1	true	0.1	0.0	fb6a046e15c38af005543bd3856f31d150419929f38667dc9d7f3423970ff68f	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
5	9	45	1750	4889	45	0.1	true	0.1	0.0	e059fb57f9e733e12d686e0a51cc25f9471bb6e722703175f193536aa5a15a6d	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
6	37	141	2807	8060	141	0.2	true	0.2	0.1	02941ea9d8565ac08e8cc7362a33d4975a376ce0c249e1c86926317642cd9811	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
7	19	133	4227	12534	133	0.3	true	0.3	0.1	0a81a70e7fdc76baf036511580c61d86639ac426ab66d7c0a7d49c862d48fbb6	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
8	105	558	6064	18521	558	0.8	true	1.0
9	76	684	8372	26397	684	2.0	true	2.0
10	201	1655	11205	36408	1655	5.4	true	5.5
11	165	1815	14617	48957	1815	9.8	true	9.8
12	435	4212	18662	64377	4212	23.3	true	23.4
13	367	4771	23394	83135	4771	38.5	true	38.6
14	727	8841	28867	105596	8841	95.2	true	95.2
15	534	8000	35135	132243	8000	143.4	true	143.7	142.4	242ee1dd383d112c0e5d29c5de4cfdd83030161186f9e14764353ef41d466b46	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
16	1213	16178	42252	163512	16178	285.2	true	285.4	219.9	7bd64fbd3f877c44fac6d64ea487c587c899fbf08cc2b68d1a4928d64276d66e	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
17	691	11747	50272	199938	11747	606.9	true	607.2	365.6	7c426f78336b65cf0d84ed12a62742e053312aa5636c80b8813e65f1dc9aead3	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
18	1576	24174	59249	242013	24174	1542.7	true	1543.0	528.4	360438433019e9204d8d409b09836467d5f8f45ec8c7f30a5022411bfda6d274	c2b7088f782fc00fff45426a07388098a318d0cc4e50f511fb3d56557d7472ec	a48ebed7b4b6b373d3ddbeb3368dae7622a9e17bab7fe6eb751ab996757f9fbe
