[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 15s  dsets=2633 (175/s)  distinct=91
  [relaxed maxSize=24] 30s  dsets=6553 (218/s)  distinct=185
  [relaxed maxSize=24] 45s  dsets=8800 (195/s)  distinct=199
  [relaxed maxSize=24] 60s  dsets=15013 (250/s)  distinct=232
  [relaxed maxSize=24] 75s  dsets=21512 (286/s)  distinct=236
  [relaxed maxSize=24] 90s  dsets=26550 (294/s)  distinct=554
  [relaxed maxSize=24] 105s  dsets=28139 (267/s)  distinct=588
  [relaxed maxSize=24] 120s  dsets=34622 (288/s)  distinct=595
  [relaxed maxSize=24] 135s  dsets=41923 (310/s)  distinct=595
  [relaxed maxSize=24] 150s  dsets=48842 (325/s)  distinct=597
  [relaxed maxSize=24] 165s  dsets=55558 (336/s)  distinct=604
  [relaxed maxSize=24] 180s  dsets=60720 (337/s)  distinct=604
  [relaxed maxSize=24] 195s  dsets=65356 (335/s)  distinct=606
  [relaxed maxSize=24] 210s  dsets=68802 (327/s)  distinct=609
  [relaxed maxSize=24] 225s  dsets=71979 (319/s)  distinct=609
  [relaxed maxSize=24] 240s  dsets=74374 (309/s)  distinct=610
  [relaxed maxSize=24] 255s  dsets=75917 (297/s)  distinct=610
  [relaxed maxSize=24] 270s  dsets=77280 (286/s)  distinct=610
  [relaxed maxSize=24] 285s  dsets=78592 (275/s)  distinct=610
  [relaxed maxSize=24] 300s  dsets=79888 (266/s)  distinct=631
  [relaxed maxSize=24] 315s  dsets=100651 (319/s)  distinct=631
  [relaxed maxSize=24] 330s  dsets=118322 (358/s)  distinct=632
  [relaxed maxSize=24] 345s  dsets=135344 (392/s)  distinct=632
  [relaxed maxSize=24] 360s  dsets=142898 (396/s)  distinct=633
  [relaxed maxSize=24] 375s  dsets=149526 (398/s)  distinct=633
  [relaxed maxSize=24] 390s  dsets=156354 (400/s)  distinct=633
  [relaxed maxSize=24] 405s  dsets=158509 (391/s)  distinct=633
  [relaxed maxSize=24] 420s  dsets=161647 (384/s)  distinct=634
  [relaxed maxSize=24] 435s  dsets=163693 (376/s)  distinct=635
  [relaxed maxSize=24] 450s  dsets=169704 (377/s)  distinct=635
