[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[warn] Getting the hostname MacBook-Pro-di-Mario.local was slow (5002.237045 ms). This is likely because the computer's hostname is not set. You can set the hostname with the command: scutil --set HostName "$(scutil --get LocalHostName).local".
  [relaxed maxSize=24] 15s  dsets=3264 (217/s)  distinct=25
  [relaxed maxSize=24] 30s  dsets=7584 (252/s)  distinct=48
  [relaxed maxSize=24] 45s  dsets=15661 (347/s)  distinct=101
  [relaxed maxSize=24] 60s  dsets=23349 (389/s)  distinct=138
  [relaxed maxSize=24] 75s  dsets=25877 (344/s)  distinct=151
  [relaxed maxSize=24] 90s  dsets=28393 (315/s)  distinct=164
  [relaxed maxSize=24] 105s  dsets=38572 (367/s)  distinct=225
  [relaxed maxSize=24] 120s  dsets=48098 (400/s)  distinct=262
  [relaxed maxSize=24] 135s  dsets=65072 (481/s)  distinct=328
  [relaxed maxSize=24] 150s  dsets=76325 (508/s)  distinct=438
  [relaxed maxSize=24] 165s  dsets=84619 (512/s)  distinct=485
  [relaxed maxSize=24] 180s  dsets=89302 (495/s)  distinct=501
  [relaxed maxSize=24] 195s  dsets=91985 (471/s)  distinct=509
  [relaxed maxSize=24] 210s  dsets=95006 (452/s)  distinct=625
  [relaxed maxSize=24] 225s  dsets=97720 (434/s)  distinct=629
  [relaxed maxSize=24] 240s  dsets=98977 (412/s)  distinct=629
  [relaxed maxSize=24] 255s  dsets=109713 (430/s)  distinct=721
  [relaxed maxSize=24] 270s  dsets=115074 (426/s)  distinct=732
  [relaxed maxSize=24] 285s  dsets=117921 (413/s)  distinct=739
  [relaxed maxSize=24] 300s  dsets=133294 (444/s)  distinct=853
  [relaxed maxSize=24] 315s  dsets=155045 (492/s)  distinct=923
  [relaxed maxSize=24] 330s  dsets=177328 (537/s)  distinct=1028
  [relaxed maxSize=24] 345s  dsets=188797 (547/s)  distinct=1140
  [relaxed maxSize=24] 360s  dsets=195907 (544/s)  distinct=1151
  [relaxed maxSize=24] 375s  dsets=207648 (553/s)  distinct=1269
  [relaxed maxSize=24] 390s  dsets=213119 (546/s)  distinct=1273
  [relaxed maxSize=24] 405s  dsets=217770 (537/s)  distinct=1277
  [relaxed maxSize=24] 420s  dsets=222743 (530/s)  distinct=1327
  [relaxed maxSize=24] 435s  dsets=245637 (564/s)  distinct=1381
  [relaxed maxSize=24] 450s  dsets=260720 (579/s)  distinct=1406
  [relaxed maxSize=24] 465s  dsets=275047 (591/s)  distinct=1426
  [relaxed maxSize=24] 480s  dsets=285320 (594/s)  distinct=1440
  [relaxed maxSize=24] 495s  dsets=288197 (582/s)  distinct=1493
  [relaxed maxSize=24] 510s  dsets=306106 (600/s)  distinct=1628
  [relaxed maxSize=24] 525s  dsets=316727 (603/s)  distinct=1654
  [relaxed maxSize=24] 540s  dsets=324215 (600/s)  distinct=1663
  [relaxed maxSize=24] 555s  dsets=331955 (597/s)  distinct=1683
  [relaxed maxSize=24] 570s  dsets=342402 (600/s)  distinct=1709
  [relaxed maxSize=24] 585s  dsets=349160 (596/s)  distinct=1741
  [relaxed maxSize=24] 600s  dsets=353233 (588/s)  distinct=1745
  [relaxed maxSize=24] 615s  dsets=355438 (577/s)  distinct=1746
  [relaxed maxSize=24] 630s  dsets=360583 (572/s)  distinct=1756
  [relaxed maxSize=24] 645s  dsets=363369 (563/s)  distinct=1758
  [relaxed maxSize=24] 660s  dsets=367233 (556/s)  distinct=1765
  [relaxed maxSize=24] 675s  dsets=369110 (546/s)  distinct=1767
  [relaxed maxSize=24] 690s  dsets=370992 (537/s)  distinct=1774
  [relaxed maxSize=24] 705s  dsets=372778 (528/s)  distinct=1781
  [relaxed maxSize=24] 720s  dsets=376841 (523/s)  distinct=1801
  [relaxed maxSize=24] 735s  dsets=387104 (526/s)  distinct=1805
  [relaxed maxSize=24] 750s  dsets=393226 (524/s)  distinct=1826
  [relaxed maxSize=24] 765s  dsets=398693 (520/s)  distinct=1847
  [relaxed maxSize=24] 780s  dsets=405405 (519/s)  distinct=1853
  [relaxed maxSize=24] 795s  dsets=408707 (513/s)  distinct=1857
  [relaxed maxSize=24] 810s  dsets=411505 (507/s)  distinct=1859
  [relaxed maxSize=24] 825s  dsets=416466 (504/s)  distinct=1941
  [relaxed maxSize=24] 840s  dsets=420047 (499/s)  distinct=1946
  [relaxed maxSize=24] 855s  dsets=422058 (493/s)  distinct=1962
  [relaxed maxSize=24] 870s  dsets=422882 (485/s)  distinct=1962
  [relaxed maxSize=24] 885s  dsets=423535 (478/s)  distinct=1963
  [relaxed maxSize=24] 900s  dsets=425248 (472/s)  distinct=2047
  [relaxed maxSize=24] 915s  dsets=425910 (465/s)  distinct=2057
  [relaxed maxSize=24] 930s  dsets=454575 (488/s)  distinct=2312
  [relaxed maxSize=24] 945s  dsets=476144 (503/s)  distinct=2381
  [relaxed maxSize=24] 960s  dsets=502320 (523/s)  distinct=2464
  [relaxed maxSize=24] 975s  dsets=512363 (525/s)  distinct=2479
  [relaxed maxSize=24] 990s  dsets=523623 (528/s)  distinct=2495
  [relaxed maxSize=24] 1005s  dsets=531043 (528/s)  distinct=2507
  [relaxed maxSize=24] 1020s  dsets=538621 (527/s)  distinct=2530
  [relaxed maxSize=24] 1035s  dsets=547788 (529/s)  distinct=2556
  [relaxed maxSize=24] 1050s  dsets=559380 (532/s)  distinct=2590
  [relaxed maxSize=24] 1065s  dsets=565908 (531/s)  distinct=2597
  [relaxed maxSize=24] 1080s  dsets=578144 (535/s)  distinct=2625
  [relaxed maxSize=24] 1095s  dsets=591385 (539/s)  distinct=2741
  [relaxed maxSize=24] 1110s  dsets=596579 (537/s)  distinct=2743
  [relaxed maxSize=24] 1125s  dsets=598637 (531/s)  distinct=2749
  [relaxed maxSize=24] 1140s  dsets=602323 (528/s)  distinct=2750
  [relaxed maxSize=24] 1155s  dsets=610799 (528/s)  distinct=2759
  [relaxed maxSize=24] 1170s  dsets=614900 (525/s)  distinct=2765
  [relaxed maxSize=24] 1185s  dsets=627472 (529/s)  distinct=2863
  [relaxed maxSize=24] 1200s  dsets=629883 (524/s)  distinct=2863
  [relaxed maxSize=24] 1215s  dsets=635863 (523/s)  distinct=3131
  [relaxed maxSize=24] 1230s  dsets=639870 (520/s)  distinct=3159
  [relaxed maxSize=24] 1245s  dsets=640235 (514/s)  distinct=3160
  [relaxed maxSize=24] 1260s  dsets=640801 (508/s)  distinct=3160
  [relaxed maxSize=24] 1275s  dsets=641228 (502/s)  distinct=3161
  [relaxed maxSize=24] 1291s  dsets=642805 (497/s)  distinct=3169
  [relaxed maxSize=24] 1306s  dsets=643280 (492/s)  distinct=3172
