count=30
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.4.4, 3.4.4.3.6, 3.3.6.6)	regularOrbits=2,3,4	irregularOrbits=0,1	key=1,2,3,4|4;4,1,5,4|4;3,6,1,4|4;2,7,8,4|5;8,9,2,3|4;10,3,11,4|4;7,4,12,4|5;5,13,4,3|5;14,5,15,3|4;6,12,16,4|5;16,15,6,3|4;12,10,7,4|5;17,8,18,3|5;9,17,19,3|4;19,11,9,3|4;11,20,10,3|5;13,14,21,3|4;21,22,13,6|5;15,23,14,3|4;23,16,22,3|5;18,24,17,6|4;25,18,20,6|5;20,19,25,3|4;26,21,26,6|4;22,26,23,6|4;24,25,24,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.4.4.4, 3.4.3.6, 3.3.6.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,4|5;1,4,1,4|5;5,1,5,4|5;6,2,7,4|5;3,8,3,4|5;4,9,10,4|4;10,11,4,3|5;9,5,12,4|5;8,6,13,4|4;7,14,6,3|4;15,7,16,3|5;13,16,8,3|5;12,17,9,3|4;18,10,19,3|4;11,18,20,3|4;20,12,11,3|5;21,13,22,3|4;14,15,23,3|4;23,22,14,6|4;16,21,15,3|4;17,20,24,3|4;24,19,17,6|4;19,25,18,6|4;22,26,21,6|4;26,23,26,6|4;25,24,25,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.3.6, 3.3.4.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|4;8,9,2,3|4;7,3,10,6|4;6,4,11,6|4;5,12,4,3|4;13,5,14,3|4;11,14,6,3|4;10,15,7,3|4;16,8,17,3|4;9,16,18,3|5;18,10,9,3|4;19,11,20,3|4;12,13,21,3|5;21,20,12,4|4;14,19,13,3|5;15,18,22,3|5;22,17,15,4|4;17,23,16,4|5;20,24,19,4|5;25,21,25,4|5;26,22,26,4|5;23,26,23,4|5;24,25,24,4|5;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.3.6, 3.3.4.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|4;8,9,2,3|4;7,3,10,6|4;6,4,11,6|4;5,12,4,3|4;13,5,14,3|4;11,14,6,3|4;10,15,7,3|4;16,8,17,3|4;9,16,18,3|5;18,10,9,3|4;19,11,20,3|4;12,13,21,3|5;21,20,12,4|4;14,19,13,3|5;15,18,22,3|5;22,17,15,4|4;17,23,16,4|5;20,24,19,4|5;25,21,26,4|5;26,22,25,4|5;23,26,24,4|5;24,25,23,4|5;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.3.6, 3.3.4.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|4;9,10,3,3|4;4,5,11,6|4;11,12,4,3|4;6,13,5,3|4;14,6,12,3|4;8,15,7,3|4;16,8,10,3|4;17,9,18,3|4;10,17,16,3|5;19,11,20,3|4;12,19,14,3|5;13,14,21,3|5;21,20,13,4|4;15,16,22,3|5;22,18,15,4|4;18,23,17,4|5;20,24,19,4|5;25,21,26,4|5;26,22,25,4|5;23,26,24,4|5;24,25,23,4|5;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|5;8,9,2,3|4;7,3,10,6|4;6,4,11,6|5;5,12,4,3|5;13,5,14,3|4;11,14,6,3|4;10,15,7,3|5;16,8,17,3|5;9,16,18,3|4;18,10,9,3|4;19,11,20,3|5;12,13,21,3|4;21,22,12,4|5;14,19,13,3|4;15,18,23,3|4;23,24,15,4|5;17,25,16,4|4;24,17,24,4|5;20,26,19,4|4;22,20,22,4|5;26,21,26,4|4;25,23,25,4|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|5;8,9,2,3|4;7,3,10,6|4;6,4,11,6|5;5,12,4,3|5;13,5,14,3|4;11,14,6,3|4;10,15,7,3|5;16,8,17,3|5;9,16,18,3|4;18,10,9,3|4;19,11,20,3|5;12,13,21,3|4;21,22,12,4|5;14,19,13,3|4;15,18,23,3|4;23,24,15,4|5;17,25,16,4|4;26,17,24,4|5;20,26,19,4|4;25,20,22,4|5;24,21,26,4|4;22,23,25,4|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,4|4;1,4,1,4|4;5,1,6,4|4;7,2,8,4|4;3,9,10,4|5;10,11,3,3|4;4,12,13,4|5;13,14,4,3|4;12,5,12,4|5;6,15,5,3|5;16,6,14,3|4;9,7,9,4|5;8,17,7,3|5;18,8,11,3|4;19,10,20,3|5;11,19,18,3|4;21,13,22,3|5;14,21,16,3|4;15,16,23,3|4;23,22,15,6|5;17,18,24,3|4;24,20,17,6|5;20,25,19,6|4;22,26,21,6|4;26,23,26,6|4;25,24,25,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|5;9,10,3,3|4;4,5,11,6|5;11,12,4,3|4;6,13,5,3|5;14,6,12,3|4;8,15,7,3|5;16,8,10,3|4;17,9,18,3|5;10,17,16,3|4;19,11,20,3|5;12,19,14,3|4;13,14,21,3|4;21,22,13,4|5;15,16,23,3|4;23,24,15,4|5;18,25,17,4|4;26,18,24,4|5;20,26,19,4|4;25,20,22,4|5;24,21,26,4|4;22,23,25,4|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3,4	key=1,2,3,4|4;4,1,5,4|4;3,6,1,4|4;2,7,8,4|5;8,9,2,3|4;10,3,11,4|4;7,4,12,4|5;5,13,4,3|5;14,5,15,3|4;6,12,16,4|5;16,15,6,3|4;12,10,7,4|5;17,8,18,3|5;9,17,19,3|4;19,11,9,3|4;11,20,10,3|5;13,14,21,3|4;21,22,13,6|5;15,23,14,3|4;23,16,22,3|5;18,24,17,6|4;25,18,20,6|5;20,19,25,3|4;24,21,26,6|4;22,26,23,6|4;26,25,24,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=26	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1,2	irregularOrbits=3,4	key=1,2,3,6|4;4,1,5,6|4;3,6,1,6|4;2,7,8,6|5;8,9,2,3|4;7,3,10,6|4;6,4,11,6|5;5,12,4,3|5;13,5,14,3|4;11,14,6,3|4;10,15,7,3|5;16,8,17,3|5;9,16,18,3|4;18,10,9,3|4;19,11,20,3|5;12,13,21,3|4;21,22,12,4|5;14,19,13,3|4;15,18,23,3|4;23,24,15,4|5;17,25,16,4|4;25,17,24,4|5;20,26,19,4|4;26,20,22,4|5;22,21,26,4|4;24,23,25,4|4;
