count=562
z=3.3.4.12	claimed=4	n=3	chambers=22	sigs=List(4.4.12, 3.4.4.12, 3.3.4.12)	regularOrbits=0,2,3,4	irregularOrbits=1	key=1,2,3,12|3;4,1,5,12|3;3,6,1,4|3;2,7,8,12|4;8,9,2,4|3;6,3,9,4|3;10,4,11,12|4;5,12,4,4|4;9,5,6,4|3;7,13,14,12|4;14,15,7,3|4;12,8,16,4|4;13,10,17,12|4;11,18,10,3|4;19,11,20,3|4;16,20,12,4|4;17,21,13,4|4;22,14,22,3|4;15,22,21,3|4;21,16,15,4|4;20,17,19,4|4;18,19,18,3|4;
z=3.3.4.12	claimed=4	n=3	chambers=24	sigs=List(3.3.4.12, 3.4.12.3.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,12|4;4,1,5,12|4;3,6,1,4|4;2,7,8,12|5;8,9,2,3|4;10,3,11,4|4;7,4,12,12|5;5,13,4,3|5;14,5,15,3|4;6,12,16,4|5;16,15,6,3|4;12,10,7,4|5;17,8,18,3|5;9,17,19,3|3;19,11,9,3|4;11,20,10,3|5;13,14,21,3|3;21,22,13,6|5;15,23,14,3|3;23,16,22,3|5;18,24,17,6|3;24,18,20,6|5;20,19,24,3|3;22,21,23,6|3;
z=3.3.4.12	claimed=4	n=3	chambers=24	sigs=List(3.3.4.12, 3.4.12.3.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=2,3,4,12|4;1,5,6,12|5;5,1,7,12|4;6,8,1,3|4;3,2,9,12|5;4,10,2,3|5;9,11,3,4|4;12,4,13,3|4;7,14,5,4|5;15,6,16,3|5;14,7,17,4|4;8,15,18,3|3;18,17,8,3|4;11,9,19,4|5;10,12,20,3|3;20,21,10,6|5;19,13,11,3|4;13,22,12,3|3;17,23,14,3|5;16,24,15,6|3;24,16,23,6|5;23,18,24,3|3;22,19,21,3|5;21,20,22,6|3;
z=3.3.4.12	claimed=4	n=4	chambers=24	sigs=List(3.5.12, 3.5.3.5, 3.4.5.12, 3.3.4.12)	regularOrbits=0,1,3,4	irregularOrbits=2	key=1,2,3,12|3;4,1,5,12|3;3,6,1,3|3;2,7,8,12|4;8,9,2,5|3;10,3,9,3|3;11,4,12,12|4;5,13,4,5|4;14,5,6,5|3;6,10,14,3|4;7,15,16,12|4;16,17,7,3|4;13,8,18,5|4;9,14,10,5|4;15,11,19,12|4;12,20,11,3|4;21,12,22,3|4;18,22,13,4|4;19,23,15,4|4;24,16,24,3|4;17,24,23,3|4;23,18,17,4|4;22,19,21,4|4;20,21,20,3|4;
z=3.3.6.6	claimed=7	n=3	chambers=11	sigs=List(3.3.6.6, 3.6.4.6, 4.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|4;5,6,2,6|4;4,7,3,6|4;6,4,6,6|4;8,5,9,6|4;7,10,11,6|3;11,9,7,4|4;10,8,10,6|3;9,11,8,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=11	sigs=List(3.3.6.6, 3.6.4.6, 4.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|4;5,6,2,6|4;4,7,3,6|4;8,4,6,6|4;9,5,10,6|4;6,9,8,6|3;7,8,11,6|3;11,10,7,4|4;10,11,9,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6, 3.6.3.6.6, 3.3.6.6)	regularOrbits=1,2	irregularOrbits=0	key=2,1,3,6|3;1,2,4,6|5;4,5,1,3|3;3,6,2,3|5;7,3,5,3|3;8,4,9,3|5;5,8,7,3|4;6,7,10,3|4;10,11,6,6|5;9,12,8,6|4;12,9,11,6|5;11,10,12,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|5;5,6,2,6|4;4,7,3,6|5;6,4,6,6|4;8,5,9,6|5;7,10,11,6|3;11,12,7,3|5;10,8,10,6|3;9,11,8,3|3;12,9,12,3|5;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|5;5,6,2,6|4;4,7,3,6|5;8,4,6,6|4;9,5,10,6|5;6,9,8,6|3;7,8,11,6|3;11,12,7,3|5;10,11,9,3|3;12,10,12,3|5;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.6.3.6.6, 3.3.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|5;5,6,2,3|4;4,7,3,3|5;8,4,6,3|4;9,5,10,3|5;6,9,8,3|3;7,8,11,3|3;11,12,7,6|5;10,11,9,6|3;12,10,12,6|5;
