count=654
z=3.10.15	claimed=5	n=5	chambers=22	sigs=List(3.10.15, 3.15.36, 3.10.36, 15.36, 10.36)	regularOrbits=0,1,2	irregularOrbits=3	key=1,2,3,10|3;4,1,5,10|3;3,6,1,15|3;2,7,8,10|3;8,9,2,3|3;10,3,9,15|3;11,4,12,10|3;5,13,4,3|3;14,5,6,3|3;6,15,14,15|3;7,11,16,10|2;16,17,7,36|3;18,8,17,3|3;9,18,10,3|3;19,10,20,15|3;12,16,11,36|2;21,12,13,36|3;13,14,21,3|3;15,19,22,15|2;22,21,15,36|3;17,20,18,36|3;20,22,19,36|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(10.12, 10.12, 10.12.42, 3.10.42, 3.10.15, 3.15.42, 15.42)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,12|2;2,6,7,10|2;7,3,2,12|2;8,4,9,10|2;5,9,4,12|2;6,10,11,10|3;11,7,6,12|2;12,8,13,10|3;9,14,8,12|3;10,15,16,10|3;16,17,10,42|3;14,11,17,12|3;18,12,19,10|3;13,20,12,42|3;17,13,14,42|3;15,21,22,10|3;22,23,15,3|3;24,16,23,42|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,42|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,42|3;33,25,26,15|3;26,27,33,3|3;28,31,34,42|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(10.12, 10.12.27, 10.27, 3.10.27, 3.10.15, 3.15.27, 15.27)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,12|2;2,6,7,10|3;7,3,2,12|2;8,4,9,10|3;5,10,4,12|3;6,11,12,10|2;12,13,6,27|3;10,7,13,12|3;14,8,15,10|2;9,15,8,27|2;13,9,10,27|3;11,16,17,10|3;17,12,11,27|2;18,14,19,10|3;15,20,14,27|3;16,21,22,10|3;22,23,16,3|3;24,17,23,27|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,27|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,27|3;33,25,26,15|3;26,27,33,3|3;28,31,34,27|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(10.18, 10.18, 10.18.21, 3.10.21, 3.10.15, 3.15.21, 15.21)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,18|2;2,6,7,10|2;7,3,2,18|2;8,4,9,10|2;5,9,4,18|2;6,10,11,10|3;11,7,6,18|2;12,8,13,10|3;9,14,8,18|3;10,15,16,10|3;16,17,10,21|3;14,11,17,18|3;18,12,19,10|3;13,20,12,21|3;17,13,14,21|3;15,21,22,10|3;22,23,15,3|3;24,16,23,21|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,21|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,21|3;33,25,26,15|3;26,27,33,3|3;28,31,34,21|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(10.24, 10.18.24, 10.18, 3.10.18, 3.10.15, 3.15.18, 15.18)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,24|2;2,6,7,10|3;7,3,2,24|2;8,4,9,10|3;5,10,4,24|3;6,11,12,10|2;12,13,6,18|3;10,7,13,24|3;14,8,15,10|2;9,15,8,18|2;13,9,10,18|3;11,16,17,10|3;17,12,11,18|2;18,14,19,10|3;15,20,14,18|3;16,21,22,10|3;22,23,16,3|3;24,17,23,18|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,18|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,18|3;33,25,26,15|3;26,27,33,3|3;28,31,34,18|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(10.36, 10.36, 10.14.36, 3.10.14, 3.10.15, 3.14.15, 14.15)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,36|2;2,6,7,10|2;7,3,2,36|2;8,4,9,10|2;5,9,4,36|2;6,10,11,10|3;11,7,6,36|2;12,8,13,10|3;9,14,8,36|3;10,15,16,10|3;16,17,10,14|3;14,11,17,36|3;18,12,19,10|3;13,20,12,14|3;17,13,14,14|3;15,21,22,10|3;22,23,15,3|3;24,16,23,14|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,14|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,14|3;33,25,26,15|3;26,27,33,3|3;28,31,34,14|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=34	sigs=List(8.10, 8.10.54, 10.54, 3.10.54, 3.10.15, 3.15.54, 15.54)	regularOrbits=1,3,4	irregularOrbits=0,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,8|2;2,6,7,10|3;7,3,2,8|2;8,4,9,10|3;5,10,4,8|3;6,11,12,10|2;12,13,6,54|3;10,7,13,8|3;14,8,15,10|2;9,15,8,54|2;13,9,10,54|3;11,16,17,10|3;17,12,11,54|2;18,14,19,10|3;15,20,14,54|3;16,21,22,10|3;22,23,16,3|3;24,17,23,54|3;21,18,25,10|3;19,26,18,3|3;27,19,20,3|3;20,28,27,54|3;25,29,21,15|3;30,22,29,3|3;23,30,24,3|3;31,24,32,54|3;33,25,26,15|3;26,27,33,3|3;28,31,34,54|2;34,33,28,15|3;29,32,30,15|3;32,34,31,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(10.11, 6.10.11, 6.10.11, 3.10.11, 3.10.15, 3.11.15, 11.15)	regularOrbits=0,3,4	irregularOrbits=1,2	key=1,2,3,10|2;4,1,5,10|2;3,5,1,11|2;2,6,7,10|3;7,3,2,11|2;8,4,9,10|3;5,10,4,11|3;6,11,12,10|3;12,13,6,6|3;14,7,13,11|3;15,8,16,10|3;9,17,8,6|3;17,9,10,6|3;10,16,17,11|3;11,18,19,10|3;19,14,11,11|3;13,12,14,6|3;20,15,21,10|3;16,22,15,11|3;18,23,24,10|3;24,25,18,3|3;26,19,25,11|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,11|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,11|3;35,27,28,15|3;28,29,35,3|3;30,33,36,11|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(10.12, 10.12.12, 7.10.12, 3.7.10, 3.10.15, 3.7.15, 7.15)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,12|2;2,6,7,10|3;7,3,2,12|2;8,4,9,10|3;5,10,4,12|3;6,11,12,10|3;12,13,6,12|3;10,7,13,12|3;14,8,15,10|3;9,16,8,12|3;13,9,10,12|3;11,17,18,10|3;18,19,11,7|3;16,12,19,12|3;20,14,21,10|3;15,22,14,7|3;19,15,16,7|3;17,23,24,10|3;24,25,17,3|3;26,18,25,7|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,7|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,7|3;35,27,28,15|3;28,29,35,3|3;30,33,36,7|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
z=3.10.15	claimed=5	n=7	chambers=36	sigs=List(10.12, 4.10.12, 4.10.21, 3.10.21, 3.10.15, 3.15.21, 15.21)	regularOrbits=1,4,5	irregularOrbits=0,2,3	key=1,2,3,10|2;4,1,5,10|2;3,5,1,12|2;2,6,7,10|3;7,3,2,12|2;8,4,9,10|3;5,10,4,12|3;6,11,12,10|3;12,13,6,4|3;10,7,13,12|3;14,8,15,10|3;9,16,8,4|3;13,9,10,4|3;11,17,18,10|3;18,19,11,21|3;16,12,19,4|3;20,14,21,10|3;15,22,14,21|3;19,15,16,21|3;17,23,24,10|3;24,25,17,3|3;26,18,25,21|3;23,20,27,10|3;21,28,20,3|3;29,21,22,3|3;22,30,29,21|3;27,31,23,15|3;32,24,31,3|3;25,32,26,3|3;33,26,34,21|3;35,27,28,15|3;28,29,35,3|3;30,33,36,21|2;36,35,30,15|3;31,34,32,15|3;34,36,33,15|2;
