# count=3665
species	orbits	chambers	hits
3.10.15	5	22	1
3.10.15	7	34	6
3.10.15	7	36	12
3.10.15	7	38	1
3.10.15	8	38	6
3.10.15	8	40	17
3.10.15	8	42	30
3.10.15	8	44	60
3.10.15	8	46	22
3.10.15	8	48	8
3.7.42	6	28	1
3.7.42	7	32	4
3.7.42	7	34	6
3.8.24	3	18	1
3.8.24	4	22	2
3.8.24	4	24	1
3.8.24	5	26	2
3.8.24	5	28	4
3.8.24	5	30	1
3.8.24	6	30	1
3.8.24	6	32	14
3.8.24	6	34	3
3.8.24	6	36	15
3.8.24	7	36	38
3.8.24	7	38	91
3.8.24	7	40	67
3.8.24	7	42	16
3.8.24	8	32	1
3.8.24	8	38	8
3.8.24	8	40	67
3.8.24	8	42	226
3.8.24	8	44	368
3.8.24	8	46	268
3.8.24	8	48	128
3.9.18	4	24	2
3.9.18	6	30	1
3.9.18	6	32	2
3.9.18	7	34	8
3.9.18	7	36	13
3.9.18	7	38	4
3.9.18	7	40	4
3.9.18	8	36	4
3.9.18	8	38	22
3.9.18	8	40	36
3.9.18	8	42	7
3.9.18	8	44	11
3.9.18	8	48	15
4.5.20	4	16	1
4.5.20	6	28	9
4.5.20	6	30	24
4.5.20	6	32	21
4.5.20	6	34	3
4.5.20	6	36	4
4.5.20	7	28	1
4.5.20	7	30	2
4.5.20	7	32	4
4.5.20	7	34	17
4.5.20	7	36	31
4.5.20	7	38	20
4.5.20	7	40	11
4.5.20	7	42	4
4.5.20	8	32	1
4.5.20	8	36	6
4.5.20	8	38	45
4.5.20	8	40	197
4.5.20	8	42	380
4.5.20	8	44	386
4.5.20	8	46	267
4.5.20	8	48	70
5.5.10	6	28	2
5.5.10	6	30	3
5.5.10	6	32	17
5.5.10	6	34	29
5.5.10	6	36	19
5.5.10	7	30	8
5.5.10	7	32	38
5.5.10	7	34	47
5.5.10	7	36	8
5.5.10	7	38	4
5.5.10	7	40	4
5.5.10	7	42	2
5.5.10	8	36	4
5.5.10	8	38	7
5.5.10	8	40	42
5.5.10	8	42	90
5.5.10	8	44	90
5.5.10	8	46	77
5.5.10	8	48	45
