# count=20806
species	orbits	chambers	hits
3.10.15	5	22	1
3.10.15	7	34	6
3.10.15	7	36	12
3.10.15	7	38	1
3.10.15	8	38	6
3.10.15	8	40	17
3.10.15	8	42	30
3.10.15	8	44	60
3.10.15	8	46	22
3.10.15	8	48	8
3.10.15	9	40	3
3.10.15	9	42	36
3.10.15	9	44	115
3.10.15	9	46	97
3.10.15	9	48	60
3.10.15	9	50	52
3.10.15	9	52	47
3.10.15	9	54	13
3.7.42	6	28	1
3.7.42	7	32	4
3.7.42	7	34	6
3.7.42	9	40	8
3.7.42	9	42	25
3.7.42	9	44	22
3.7.42	9	46	84
3.7.42	9	48	110
3.7.42	9	50	40
3.8.24	3	18	1
3.8.24	4	22	2
3.8.24	4	24	1
3.8.24	5	26	2
3.8.24	5	28	4
3.8.24	5	30	1
3.8.24	6	30	1
3.8.24	6	32	14
3.8.24	6	34	3
3.8.24	6	36	15
3.8.24	7	36	38
3.8.24	7	38	91
3.8.24	7	40	67
3.8.24	7	42	16
3.8.24	8	32	1
3.8.24	8	38	8
3.8.24	8	40	67
3.8.24	8	42	226
3.8.24	8	44	368
3.8.24	8	46	268
3.8.24	8	48	128
3.8.24	9	40	4
3.8.24	9	42	39
3.8.24	9	44	173
3.8.24	9	46	800
3.8.24	9	48	1580
3.8.24	9	50	1679
3.8.24	9	52	816
3.8.24	9	54	256
3.9.18	4	24	2
3.9.18	6	30	1
3.9.18	6	32	2
3.9.18	7	34	8
3.9.18	7	36	13
3.9.18	7	38	4
3.9.18	7	40	4
3.9.18	8	36	4
3.9.18	8	38	22
3.9.18	8	40	36
3.9.18	8	42	7
3.9.18	8	44	11
3.9.18	8	48	15
3.9.18	9	40	19
3.9.18	9	42	142
3.9.18	9	44	312
3.9.18	9	46	233
3.9.18	9	48	81
3.9.18	9	50	29
3.9.18	9	52	4
4.5.20	4	16	1
4.5.20	6	28	9
4.5.20	6	30	24
4.5.20	6	32	21
4.5.20	6	34	3
4.5.20	6	36	4
4.5.20	7	28	1
4.5.20	7	30	2
4.5.20	7	32	4
4.5.20	7	34	17
4.5.20	7	36	31
4.5.20	7	38	20
4.5.20	7	40	11
4.5.20	7	42	4
4.5.20	8	32	1
4.5.20	8	36	6
4.5.20	8	38	45
4.5.20	8	40	197
4.5.20	8	42	380
4.5.20	8	44	386
4.5.20	8	46	267
4.5.20	8	48	70
4.5.20	9	38	5
4.5.20	9	40	62
4.5.20	9	42	254
4.5.20	9	44	477
4.5.20	9	46	671
4.5.20	9	48	1131
4.5.20	9	50	1633
4.5.20	9	52	1397
4.5.20	9	54	429
5.5.10	6	28	2
5.5.10	6	30	3
5.5.10	6	32	17
5.5.10	6	34	29
5.5.10	6	36	19
5.5.10	7	30	8
5.5.10	7	32	38
5.5.10	7	34	47
5.5.10	7	36	8
5.5.10	7	38	4
5.5.10	7	40	4
5.5.10	7	42	2
5.5.10	8	36	4
5.5.10	8	38	7
5.5.10	8	40	42
5.5.10	8	42	90
5.5.10	8	44	90
5.5.10	8	46	77
5.5.10	8	48	45
5.5.10	9	38	4
5.5.10	9	40	15
5.5.10	9	42	72
5.5.10	9	44	562
5.5.10	9	46	1318
5.5.10	9	48	1293
5.5.10	9	50	591
5.5.10	9	52	257
5.5.10	9	54	91
